id,name,position_id,position_2_id,squad_id,age,club_id,birth_year,matches_played,starts,minutes_played
1,Brenden Aaronson,1,0,1,22-055,1,2000,4,0,108
2,Ali Abdi,2,0,2,28-361,2,1993,3,2,188
3,Salis Abdul Samed,1,0,3,22-265,3,2000,3,3,250
4,Saud Abdulhamid,2,1,4,23-151,4,1999,3,3,270
5,Nawaf Al Abed,1,0,4,32-324,5,1990,2,0,88
6,Pape Abou Cissé,2,0,5,27-093,6,1995,3,1,105
7,Vincent Aboubakar,3,0,6,30-328,7,1992,3,1,142
8,Abdulrahman Al-Aboud,1,2,4,27-198,8,1995,2,0,35
9,Zakaria Aboukhlal,3,1,7,22-301,9,2000,4,0,79
10,Kellyn Acosta,1,0,1,27-145,10,1995,2,0,43
11,Marcos Acuña,2,0,8,31-049,11,1991,5,4,316
12,Tyler Adams,1,0,1,23-305,1,1999,4,4,360
13,Sam Adekugbe,2,0,9,27-334,12,1995,3,1,95
14,Michel Aebischer,1,3,10,25-344,13,1997,1,0,16
15,Akram Afif,3,0,11,26-028,14,1996,3,3,270
16,Nayef Aguerd,2,0,7,26-261,15,1996,4,4,353
17,Brandon Aguilera,1,0,12,19-171,16,2003,3,1,90
18,Homam Ahmed,2,0,11,23-113,17,1999,3,3,262
19,Manuel Akanji,2,0,10,27-150,18,1995,4,4,360
20,Nathan Aké,2,0,13,27-301,18,1995,5,5,479
21,Ahmed Alaaeldin,3,0,11,29-319,17,1993,1,0,6
22,Jordi Alba,2,0,14,33-270,19,1989,4,3,264
23,Toby Alderweireld,2,0,15,33-289,20,1989,3,3,270
24,Trent Alexander-Arnold,2,0,16,24-070,21,1998,1,0,34
25,Almoez Ali,3,0,11,26-119,22,1996,3,3,224
26,Alisson,4,0,17,30-075,21,1992,4,4,379
27,Joe Allen,1,0,18,32-277,23,1990,2,1,94
28,Thiago Almada,1,0,8,21-234,24,2001,1,0,7
29,Roberto Alvarado,3,0,19,24-100,25,1998,1,0,18
30,Edson Álvarez,1,0,19,25-053,26,1997,2,2,175
31,Julián Álvarez,3,1,8,22-319,18,2000,6,4,362
32,Kevin Álvarez,2,0,19,23-335,27,1999,2,1,70
33,Dani Alves,2,0,17,39-224,28,1983,2,1,118
34,Selim Amallah,1,0,7,26-031,29,1996,6,4,384
35,Daniel Amartey,2,0,3,27-360,30,1994,3,3,251
36,Ethan Ampadu,1,2,18,22-093,31,2000,3,3,255
37,Sofyan Amrabat,1,0,7,26-117,32,1996,6,6,570
38,Abdulelah Al-Amri,2,0,4,25-335,7,1997,3,2,182
39,Joachim Andersen,2,0,20,26-199,33,1996,3,3,270
40,Karim Ansarifard,3,1,21,32-257,34,1990,2,0,35
41,Antony,3,0,17,22-295,35,2000,4,1,172
42,Uriel Antuna,3,1,19,25-117,36,1997,3,0,77
43,Néstor Araujo,2,0,19,31-109,37,1991,1,1,90
44,Takuma Asano,3,0,22,28-036,38,1994,4,0,165
45,Marco Asensio,3,0,14,26-329,39,1996,4,3,229
46,Ali Assadalla,1,0,11,29-331,14,1993,1,0,27
47,Lawrence Ati-Zigi,4,0,3,26-017,40,1996,3,3,270
48,Nathaniel Atkinson,2,0,23,23-186,41,1999,1,1,84
49,Yahya Attiat Allah,2,0,7,27-289,42,1995,5,1,228
50,André Ayew,1,3,3,32-364,14,1989,3,3,198
51,Jordan Ayew,3,0,3,31-096,33,1991,3,2,136
52,Sardar Azmoun,3,0,21,27-349,43,1995,3,2,126
53,César Azpilicueta,2,0,14,33-110,44,1989,2,2,135
54,Srđan Babić,2,0,24,26-238,45,1996,1,0,13
55,Keanu Baccus,1,0,23,24-192,46,1998,4,1,114
56,Alexander Bah,2,0,20,25-007,47,1997,2,0,46
57,Hattan Bahebri,1,0,4,30-153,5,1992,2,0,4
58,Alejandro Balde,2,0,14,19-059,19,2003,4,1,126
59,Gareth Bale,3,0,18,33-153,10,1989,3,3,225
60,Fodé Ballo-Touré,2,0,5,25-347,48,1997,1,0,7
61,Badr Banoun,2,0,7,29-077,49,1993,2,0,27
