id,clubs
0,No data
1,Leeds United
2,Caen
3,Lens
4,Al-Hilal
5,Al-Shabab
6,Olympiacos
7,Al-Nassr
8,Al-Ittihad
9,Toulouse
10,Los Angeles FC
11,Sevilla
12,Hatayspor
13,Bologna
14,Al Sadd SC
15,West Ham
16,Asociación Deportiva Guanacasteca
17,Al-Gharafa Sports Club
18,Manchester City
19,Barcelona
20,Antwerp
21,Liverpool
22,Al Duhail SC
23,Swansea City
24,Atlanta Utd
25,Guadalajara
26,Ajax
27,Pachuca
28,UNAM
29,Standard Liège
30,Leicester City
31,Spezia
32,Fiorentina
33,Crystal Palace
34,AC Omonia
35,Manchester Utd
36,Cruz Azul
37,América
38,Bochum
39,Real Madrid
40,St. Gallen
41,Hearts
42,Wydad Casablanca
43,Leverkusen
44,Chelsea
45,Almería
46,St Mirren
47,Benfica
48,Milan
49,Qatar SC
50,Rangers
51,Shanghai Shen
52,Fenerbahçe
53,Aston Villa
54,Dundee United
55,Persepolis
56,Dortmund
57,Brøndby
58,Sunderland
59,Tottenham
60,Sampdoria
61,Derby County
62,Liga Deportiva Alajuelense
63,Red Star
64,Angers
65,Espanyol
66,Juventus
67,Salernitana
68,Inter
69,Club Brugge
70,Osasuna
71,Al-Fateh
72,LA Galaxy
73,Brighton
74,Konyaspor
75,León
76,Atl Paranaense
77,Atlético Madrid
78,Celtic
79,Betis
80,Nantes
81,Vancouver
82,Valencia
83,Espérance de Tunis
84,CS Cartaginés
85,Sangju Sangmu
86,Bari
87,Esteghlal
88,Daegu
89,Rayo Vallecano
90,Sporting CP
91,Cardiff City
92,Bayern Munich
93,Club Sport Herediano
94,FC Copenhagen
95,Porto
96,Central Coast
97,CS Sfaxien
98,Brentford
99,Brest
100,Lille
101,Flamengo
102,River Plate
103,Columbus Crew
104,RB Leipzig
105,Monaco
106,Alanyaspor
107,Marseille
108,Strasbourg
109,Freiburg
110,Rennes
111,Luzern
112,Al-Wehda
113,Fagi Okayama
114,Roma
115,Udinese
116,M'Gladbach
117,Stuttgart
118,Abha
119,Vejle BK
120,Al-Ta'ee
121,Young Boys
122,Mainz 05
123,FC Dallas
124,Villarreal
125,Talleres
126,Basel
127,Nott'ham Forest
128,Werder Bremen
129,Monterrey
130,PSV Eindhoven
131,SD Aucas
132,Everton
133,Club Africain
134,Charleroi
135,Benevento
136,Vélez Sarsf
137,Trabzonspor
138,S-Pulse
139,Adelaide
140,Eint Frankfurt
141,Pogoń Szczecin
142,Augsburg
143,Jeonbuk
144,Newcastle Utd
145,Al-Ahli
146,AEK Athens
147,Paris S-G
148,Al Rayyan SC
149,Wolves
150,Houston Dynamo
151,Reading
152,Hellas Verona
153,Braga
154,Kayserispor
155,Beşiktaş
156,St. Pauli
157,Reims
158,Feyenoord
159,Fulham
160,Odense
161,Legia Warsaw
162,Arsenal
163,CF Montréal
164,Shandong Lunen
165,Wolfsburg
166,Al Ahli SC
167,Mallorca
168,Brescia
169,Toronto FC
170,Atromitos
171,Montpellier
172,Atalanta
173,Hoffenheim
174,Real Sociedad
175,Gamba Osaka
176,Ferencváros
177,Melb City
178,Hajduk Split
179,Dinamo Zagreb
180,Zenit
181,Napoli
182,Torino
183,Al Ahly SC
184,Cádiz
185,Getafe
186,AD San Carlos
187,FC Cincinnati
188,Middlesbrough
189,Birmingham City
190,Auxerre
191,Bournemouth
192,Galatasaray
193,Lazio
194,Nashville
195,Portsmouth
196,Seattle
197,Al-Arabi SC
198,FC Tokyo
199,Sheffield Utd
200,Dynamo Mosc
201,Colombe Sportive du Dja et Lobo
202,Aris
203,Heerenveen
204,Al-Ahli Dubai FC
205,RB Salzburg
206,Hannover 96
207,Mechelen
208,Real Salt Lake
209,Millonarios
210,Valladolid
211,Troyes
212,Genk
213,Nice
214,Newell's OB
215,Sepahan
216,Burnley
217,Nacional
218,
219,Urawa Reds
220,Deportivo Saprissa
221,Southampton
222,FC Seoul
223,Norwich City
224,Watford
225,Clermont Foot
226,Bristol City
227,Chicago Fire
228,Athletic Club
229,Köln
230,Lech Poznań
231,Al-Ettifaq
232,Grampus
233,Stoke City
234,Lugano
235,Charlotte
236,Lyon
237,Lorient
238,Düsseldorf
239,Kawa Frontale
240,Huddersfield
241,Santos
242,Cercle Brugge
243,Anderlecht
244,Chaves
245,Palmeiras
246,Municipal Grecia
247,St Johnstone
248,Antalyaspor
249,Kuwait SC
250,Inter Miami
251,Schalke 04
252,Ulsan Hyundai
253,Daejeon Citizen FC
254,PAOK
