,id,name,position_id,position_2_id,squad_id,age,club_id,birth_year,matches_played,starts,minutes_played
0,1,Brenden Aaronson,1,,1,22-055,1,2000,4,0,108
1,2,Ali Abdi,2,,2,28-361,2,1993,3,2,188
2,3,Salis Abdul Samed,1,,3,22-265,3,2000,3,3,250
3,4,Saud Abdulhamid,2,1,4,23-151,4,1999,3,3,270
4,5,Nawaf Al Abed,1,,4,32-324,5,1990,2,0,88
5,6,Pape Abou Cissé,2,,5,27-093,6,1995,3,1,105
6,7,Vincent Aboubakar,3,,6,30-328,7,1992,3,1,142
7,8,Abdulrahman Al-Aboud,1,2,4,27-198,8,1995,2,0,35
8,9,Zakaria Aboukhlal,3,1,7,22-301,9,2000,4,0,79
9,10,Kellyn Acosta,1,,1,27-145,10,1995,2,0,43
10,11,Marcos Acuña,2,,8,31-049,11,1991,5,4,316
11,12,Tyler Adams,1,,1,23-305,1,1999,4,4,360
12,13,Sam Adekugbe,2,,9,27-334,12,1995,3,1,95
13,14,Michel Aebischer,1,3,10,25-344,13,1997,1,0,16
14,15,Akram Afif,3,,11,26-028,14,1996,3,3,270
15,16,Nayef Aguerd,2,,7,26-261,15,1996,4,4,353
16,17,Brandon Aguilera,1,,12,19-171,16,2003,3,1,90
17,18,Homam Ahmed,2,,11,23-113,17,1999,3,3,262
18,19,Manuel Akanji,2,,10,27-150,18,1995,4,4,360
19,20,Nathan Aké,2,,13,27-301,18,1995,5,5,479
20,21,Ahmed Alaaeldin,3,,11,29-319,17,1993,1,0,6
21,22,Jordi Alba,2,,14,33-270,19,1989,4,3,264
22,23,Toby Alderweireld,2,,15,33-289,20,1989,3,3,270
23,24,Trent Alexander-Arnold,2,,16,24-070,21,1998,1,0,34
24,25,Almoez Ali,3,,11,26-119,22,1996,3,3,224
25,26,Alisson,4,,17,30-075,21,1992,4,4,379
26,27,Joe Allen,1,,18,32-277,23,1990,2,1,94
27,28,Thiago Almada,1,,8,21-234,24,2001,1,0,7
28,29,Roberto Alvarado,3,,19,24-100,25,1998,1,0,18
29,30,Edson Álvarez,1,,19,25-053,26,1997,2,2,175
30,31,Julián Álvarez,3,1,8,22-319,18,2000,6,4,362
31,32,Kevin Álvarez,2,,19,23-335,27,1999,2,1,70
32,33,Dani Alves,2,,17,39-224,28,1983,2,1,118
33,34,Selim Amallah,1,,7,26-031,29,1996,6,4,384
34,35,Daniel Amartey,2,,3,27-360,30,1994,3,3,251
35,36,Ethan Ampadu,1,2,18,22-093,31,2000,3,3,255
36,37,Sofyan Amrabat,1,,7,26-117,32,1996,6,6,570
37,38,Abdulelah Al-Amri,2,,4,25-335,7,1997,3,2,182
38,39,Joachim Andersen,2,,20,26-199,33,1996,3,3,270
39,40,Karim Ansarifard,3,1,21,32-257,34,1990,2,0,35
40,41,Antony,3,,17,22-295,35,2000,4,1,172
