,name,position,squad,age,club,birth_year,matches_played,starts,minutes_played,min_played_per_90,goals,assists,non_penalty_goals,pk_goals,pk_attemps,yellow_cards,red_cards
0,Brenden Aaronson,MF,us United States,22-055,1.eng Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0
1,Ali Abdi,DF,tn Tunisia,28-361,2.fr Caen,1993,3,2,188,2.1,0,0,0,0,0,1,0
2,Salis Abdul Samed,MF,gh Ghana,22-265,1.fr Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0
3,Saud Abdulhamid,"DF,MF",sa Saudi Arabia,23-151,1.sa Al-Hilal,1999,3,3,270,3.0,0,0,0,0,0,1,0
4,Nawaf Al Abed,MF,sa Saudi Arabia,32-324,1.sa Al-Shabab,1990,2,0,88,1.0,0,0,0,0,0,1,0
5,Pape Abou Cissé,DF,sn Senegal,27-093,1.gr Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0
6,Vincent Aboubakar,FW,cm Cameroon,30-328,1.sa Al-Nassr,1992,3,1,142,1.6,2,1,2,0,0,2,1
7,Abdulrahman Al-Aboud,"MF,DF",sa Saudi Arabia,27-198,1.sa Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0
8,Zakaria Aboukhlal,"FW,MF",ma Morocco,22-301,1.fr Toulouse,2000,4,0,79,0.9,1,0,1,0,0,0,0
9,Kellyn Acosta,MF,us United States,27-145,1.us Los Angeles FC,1995,2,0,43,0.5,0,0,0,0,0,1,0
10,Marcos Acuña,DF,ar Argentina,31-049,1.es Sevilla,1991,5,4,316,3.5,0,0,0,0,0,2,0
11,Tyler Adams,MF,us United States,23-305,1.eng Leeds United,1999,4,4,360,4.0,0,0,0,0,0,1,0
12,Sam Adekugbe,DF,ca Canada,27-334,1.tr Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,1,0
13,Michel Aebischer,"MF,FW",ch Switzerland,25-344,1.it Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0
14,Akram Afif,FW,qa Qatar,26-028,1.qa Al Sadd SC,1996,3,3,270,3.0,0,0,0,0,0,1,0
